Btrigger,Ftarget,risk_shortcut,C_shortcut,risk_sam,C_sam,sam_computed
1200000,0.36,0.162007336,356193.2836,NA,NA,FALSE
1200000,0.37,0.174207066,356657.5509,NA,NA,FALSE
1200000,0.38,0.187701945,357067.8392,NA,NA,FALSE
1200000,0.39,0.203465465,357440.6232,NA,NA,FALSE
1300000,0.18,0.003,323555.5083,0.00563166,326858.4097,FALSE
1300000,0.19,0.004,327665.367,0.005380472,326402.2229,FALSE
1300000,0.2,0.00600248,331021.964,0.007552366,329795.7905,FALSE
1300000,0.21,0.009,334408.5474,0.010590961,333212.6023,FALSE
1300000,0.22,0.01,337254.1,0.01679653,336142.2329,FALSE
1300000,0.23,0.012651661,339538.7396,0.020226401,338777.1325,FALSE
1300000,0.24,0.016,341839.2826,0.02687644,341061.5093,FALSE
1300000,0.25,0.019,343802.2771,0.034606273,343107.7823,FALSE
1300000,0.26,0.025,345531.739,0.043895271,344885.2,FALSE
1300000,0.27,0.034,347053.0531,0.049,346403.6532,TRUE
1300000,0.28,0.044,348422.2665,0.058,347852.101,TRUE
1300000,0.29,0.053,349661.4595,0.073503263,349159.6811,FALSE
1300000,0.3,0.058,350771.1281,0.090619403,350208.0223,FALSE
1300000,0.31,0.067,351800.6772,0.100801737,351212.0522,FALSE
1300000,0.32,0.079,352698.1937,0.117653378,352126.85,FALSE
1300000,0.33,0.088946475,353412.9813,0.123050439,352911.5466,FALSE
1300000,0.34,0.100215768,354137.7001,0.1392014,353696.1043,FALSE
1300000,0.35,0.113,354872.8175,0.146941382,354413.4097,FALSE
1300000,0.36,0.127,355485.2528,0.157212919,354990.015,FALSE
1300000,0.37,0.134,356001.9662,0.164142623,355641.66,FALSE
1300000,0.38,0.146,356495.9574,0.187306462,355758.9588,FALSE
1300000,0.39,0.161,356951.693,0.192922491,355318.0825,FALSE
1400000,0.18,0.002459581,322325.0879,NA,NA,FALSE
1400000,0.19,0.002839366,326280.4169,NA,NA,FALSE
1400000,0.2,0.004371623,329523.6057,NA,NA,FALSE
1400000,0.21,0.00672399,332793.7982,NA,NA,FALSE
1400000,0.22,0.007087055,335564.3995,NA,NA,FALSE
1400000,0.23,0.00947667,337824.6059,NA,NA,FALSE
1400000,0.24,0.012664829,340099.4848,NA,NA,FALSE
1400000,0.25,0.013799105,342073.675,NA,NA,FALSE
1400000,0.26,0.018038983,343823.465,NA,NA,FALSE
1400000,0.27,0.021823732,345366.2002,NA,NA,FALSE
1400000,0.28,0.028138108,346763.8482,NA,NA,FALSE
1400000,0.29,0.033346537,348034.4373,NA,NA,FALSE
1400000,0.3,0.038805077,349157.6235,NA,NA,FALSE
1400000,0.31,0.048371742,350221.6354,NA,NA,FALSE
1400000,0.32,0.056833341,351210.2562,NA,NA,FALSE
1400000,0.33,0.065256763,351989.5078,NA,NA,FALSE
1400000,0.34,0.074968217,352778.1314,NA,NA,FALSE
1400000,0.35,0.086177195,353576.6308,NA,NA,FALSE
1400000,0.36,0.096718851,354237.3884,NA,NA,FALSE
1400000,0.37,0.107082285,354830.9553,NA,NA,FALSE
1400000,0.38,0.116839596,355391.0001,NA,NA,FALSE
1400000,0.39,0.125899335,355886.9754,NA,NA,FALSE
1500000,0.18,0.002,321049.9587,0.002849063,323994.1025,FALSE
1500000,0.19,0.002,324863.58,0.002675332,323444.2992,FALSE
1500000,0.2,0.00316416,328003.9408,0.00367675,326687.9411,FALSE
1500000,0.21,0.005,331168.5831,0.005045961,329948.6412,FALSE
1500000,0.22,0.005,333873.2986,0.007726826,332774.4005,FALSE
1500000,0.23,0.007073661,336116.1595,0.009243083,335336.1505,FALSE
1500000,0.24,0.01,338372.5662,0.012068748,337584.7634,FALSE
1500000,0.25,0.01,340363.8941,0.015312638,339620.0367,FALSE
1500000,0.26,0.013,342139.2083,0.019587006,341392.6117,FALSE
1500000,0.27,0.014,343707.9396,0.022336939,342933.4426,FALSE
1500000,0.28,0.018,345138.1048,0.025537782,344469.8297,FALSE
1500000,0.29,0.021,346443.7723,0.031846841,345844.4448,FALSE
