"file","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium"
"HCR-A_Ftrgt-0.3_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.3,130000,"A",FALSE,FALSE,53959.688,41395.4672,53821.7954,0.0195,0.0061,0.0598,0.006,0.009,0.185,0.007,0.131676439987953,0.285267795378791,0.132844464234074
"HCR-A_Ftrgt-0.3_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.3,150000,"A",FALSE,FALSE,53962.1433,41110.4596,53926.7212,0.0166,0.0048,0.0524,0.0044,0.008,0.185,0.005,0.138890705753226,0.34697068446634,0.137587699589587
"HCR-A_Ftrgt-0.3_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.3,170000,"A",FALSE,FALSE,53920.8304,40794.6306,53941.099,0.0147,0.0034,0.0494,0.0026,0.008,0.185,0.004,0.151211981044452,0.405356423379627,0.146252790596688
"HCR-A_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.3,190000,"A",FALSE,FALSE,53810.7583,40419.8024,53831.17,0.0132,0.0017,0.0472,0.0022,0.004,0.185,0.004,0.167365374047957,0.459041894550641,0.159122488759506
"HCR-A_Ftrgt-0.31_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.31,150000,"A",FALSE,FALSE,54141.1602,41905.4978,54234.7322,0.01905,0.0074,0.0544,0.007,0.011,0.185,0.01,0.144563148713762,0.340953302970689,0.141632858255451
"HCR-A_Ftrgt-0.32_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.32,110000,"A",FALSE,FALSE,54289.8977,43201.2934,54281.5092,0.03135,0.0145,0.0824,0.014,0.02,0.185,0.018,0.134022892024077,0.218093469664348,0.135690207121623
"HCR-A_Ftrgt-0.32_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.32,130000,"A",FALSE,FALSE,54298.9259,42965.3488,54417.8604,0.0257,0.0128,0.0652,0.012,0.019,0.185,0.014,0.139546745565977,0.2741646342843,0.138736720748501
"HCR-A_Ftrgt-0.32_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.32,150000,"A",FALSE,FALSE,54287.833,42675.1396,54488.4782,0.02135,0.0102,0.0562,0.0088,0.014,0.185,0.013,0.150953628582451,0.335127956087322,0.146134602750367
"HCR-A_Ftrgt-0.32_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.32,170000,"A",FALSE,FALSE,54226.4951,42351.7252,54413.45,0.0173,0.0066,0.051,0.005,0.011,0.185,0.007,0.167662023338183,0.392692564340885,0.158591006636049
"HCR-A_Ftrgt-0.32_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.32,190000,"A",FALSE,FALSE,54107.8347,41959.4144,54197.4524,0.01445,0.0036,0.048,0.0026,0.007,0.185,0.004,0.186484162380117,0.445661923706744,0.174774630639022
"HCR-A_Ftrgt-0.333_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.333,150000,"A",FALSE,FALSE,54438.5736,43635.5754,54739.3952,0.02535,0.015,0.058,0.0134,0.022,0.185,0.015,0.160352066177955,0.327798754094984,0.152881414497854
"HCR-A_Ftrgt-0.34_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.34,110000,"A",FALSE,FALSE,54522.6267,44692.8436,54691.7116,0.04305,0.0283,0.0908,0.0248,0.033,0.185,0.027,0.14056855787117,0.208397714082298,0.140929462000466
"HCR-A_Ftrgt-0.34_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.34,130000,"A",FALSE,FALSE,54521.6375,44437.5304,54830.173,0.0356,0.0244,0.0726,0.021,0.033,0.185,0.024,0.149840887205433,0.264066502316187,0.146282968157742
"HCR-A_Ftrgt-0.34_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.34,150000,"A",FALSE,FALSE,54502.9018,44135.4002,54839.917,0.0288,0.0189,0.0598,0.0176,0.027,0.185,0.02,0.165926274249802,0.323984213160756,0.156963573739223
"HCR-A_Ftrgt-0.34_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.34,170000,"A",FALSE,FALSE,54432.8357,43796.62,54674.166,0.02275,0.0132,0.0532,0.0114,0.018,0.185,0.013,0.186328028455705,0.380519218685258,0.17307451355356
"HCR-A_Ftrgt-0.34_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.34,190000,"A",FALSE,FALSE,54333.4731,43387.7732,54345.8974,0.01795,0.0078,0.0498,0.0064,0.012,0.185,0.008,0.206395578051085,0.432730589668199,0.19277071211246
"HCR-A_Ftrgt-0.35_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.35,110000,"A",FALSE,FALSE,54604.1574,45404.0118,54835.5262,0.05125,0.037,0.0964,0.0346,0.041,0.185,0.038,0.144495251269546,0.203895277934966,0.144029872579342
"HCR-A_Ftrgt-0.35_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds",0.35,120000,"A",FALSE,FALSE,54602.0149,45276.9408,54913.7246,0.04695,0.0345,0.088,0.0308,0.04,0.185,0.034,0.149214532586812,0.228912095690089,0.146822335806079
"HCR-A_Ftrgt-0.36_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.36,110000,"A",FALSE,FALSE,54664.5805,46092.4772,54942.692,0.06055,0.0478,0.1036,0.043,0.054,0.185,0.047,0.148873530402963,0.199680197791891,0.147599902001091
"HCR-A_Ftrgt-0.36_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds",0.36,120000,"A",FALSE,FALSE,54660.5152,45958.8676,55020.994,0.0556,0.0444,0.0924,0.0412,0.051,0.185,0.046,0.154721710226089,0.224683461058285,0.150982030174572
"HCR-A_Ftrgt-0.36_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.36,130000,"A",FALSE,FALSE,54658.1453,45814.512,55067.0424,0.0498,0.0411,0.0798,0.0372,0.045,0.185,0.04,0.162693102871692,0.254924310225122,0.155533821698423
"HCR-A_Ftrgt-0.36_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds",0.36,140000,"A",FALSE,FALSE,54653.0129,45659.2662,55059.9622,0.04385,0.036,0.0712,0.0322,0.043,0.185,0.036,0.172539917220778,0.284482975649784,0.162162197469617
"HCR-A_Ftrgt-0.36_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.36,150000,"A",FALSE,FALSE,54637.978,45495.7908,55000.6534,0.0387,0.0313,0.0632,0.029,0.037,0.185,0.034,0.183518891805044,0.31357466713075,0.170254792944304
"HCR-A_Ftrgt-0.36_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.36,170000,"A",FALSE,FALSE,54582.5898,45138.1442,54741.0752,0.0299,0.0211,0.0566,0.0208,0.027,0.185,0.026,0.20647612401148,0.369012437049919,0.19029931062191
"HCR-A_Ftrgt-0.36_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.36,190000,"A",FALSE,FALSE,54509.3032,44709.324,54337.3308,0.0229,0.0139,0.052,0.0118,0.018,0.185,0.015,0.226647686402337,0.420272791084493,0.212391774255
