"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","fbar_median_long","fbar_median_short","fbar_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","slope_long","slope_medium","slope_short"
"HCR-A_Ftrgt-0.25_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,170000,"A",TRUE,TRUE,107297,115262.905772727,86099.143418916,122251.4124,109188.5,83525.76,116778.2,0.00166666666666667,0,0.0064,6e-04,0,0.013,0.001,0.359144491564174,0.28,0.402948270656653,392665.63315429,270896.157922927,394563.263378983,0.244913453752918,0.243728204798529,0.263579118949129,1,1,0,0,0.00290909090909091,0.015,0.0834166833366673
"HCR-A_Ftrgt-0.25_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,180000,"A",TRUE,TRUE,107297,115263.939736364,85889.049178916,122454.6335,109189.3,83525.76,116872.5,0.00161904761904762,0,0.0062,6e-04,0,0.013,0.001,0.358938545646743,0.28,0.40021759093596,392746.871639677,271057.619408402,395189.328655515,0.244879865137539,0.242594408320364,0.263346725806751,1,1,0,0,0.005,0.0198,0.112422484496899
"HCR-A_Ftrgt-0.25_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,190000,"A",TRUE,TRUE,107297,115261.472154545,85625.065978916,122714.02944,109211,83525.76,117089.95,0.00161904761904762,0,0.0062,6e-04,0,0.013,0.001,0.358938545646743,0.28,0.399168764609637,392782.669780315,271719.122080535,396283.705813116,0.244755530551486,0.240982459698965,0.262785737960939,1,1,0,0,0.00718181818181818,0.0252,0.145629125825165
"HCR-A_Ftrgt-0.25_Btrigger-210000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,210000,"A",TRUE,TRUE,107297,115259.647545455,84880.999198916,123404.4568,109156.35,83525.76,117718.65,0.00147619047619048,0,0.0056,6e-04,0,0.013,0.001,0.359395094223969,0.28,0.395774322831752,393060.361183528,273088.28092638,399433.757986666,0.244556100770035,0.238128349214018,0.262121822047336,1,1,0,0,0.0148181818181818,0.0406,0.25245049009802
"HCR-A_Ftrgt-0.25_Btrigger-220000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,220000,"A",TRUE,TRUE,107297,115193.325654545,83710.6495,124655.27736,109108.35,87641,118960.25,0.00166666666666667,0,0.0064,6e-04,0,0.019,0.001,0.359490586830618,0.2,0.392954964943659,393224.282227217,272700.270937794,403420.943105889,0.244618899585762,0.232430929714752,0.263406524361564,1,1,0,0,0.0207272727272727,0.0478,0.52
"HCR-A_Ftrgt-0.25_Btrigger-230000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,230000,"A",TRUE,TRUE,107297,115185.946118182,83166.64622,125149.7343174,109175.35,87041.8,119460.05,0.00161904761904762,0,0.0062,6e-04,0,0.019,0.001,0.359005348719761,0.2,0.390375549395697,393371.810181078,274384.068600394,405824.688201864,0.244465292717788,0.228475343722373,0.26316913123812,1,1,0,0,0.0285454545454545,0.0588117623524705,0.5852
"HCR-A_Ftrgt-0.25_Btrigger-240000_TACconstr-TRUE_BB-TRUE.rds","base",0.25,240000,"A",TRUE,TRUE,107297,115164.802036364,82523.17566,125751.317538277,109222.7,86133.8,120207.1,0.00161904761904762,0,0.0062,6e-04,0,0.019,0.001,0.35746956623315,0.2,0.386160534544745,393684.952475454,276032.416060749,407803.633531176,0.243937655609688,0.2254020039325,0.263237108045697,1,1,0,0,0.0399090909090909,0.0698419051430859,0.643
"HCR-A_Ftrgt-0.25_Btrigger-2e+05_TACconstr-TRUE_BB-TRUE.rds","base",0.25,2e+05,"A",TRUE,TRUE,107297,115255.4279,85279.383238916,123047.79628,109201,83525.76,117323.45,0.00157142857142857,0,0.006,6e-04,0,0.013,0.001,0.358666303645322,0.28,0.396952773115218,392872.555293681,272189.602472796,397667.902084323,0.244551211794029,0.239570134115853,0.262681620427674,1,1,0,0,0.00972727272727273,0.033,0.192638527705541
"HCR-A_Ftrgt-0.3_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,170000,"A",FALSE,FALSE,107297,119107.564450938,96659.5556624042,122290.135676629,115018,91547.5,118055,0.00314285714285714,0.00136363636363636,0.008,0.0022,0.003,0.018,0.003,0.133987831197684,0.18853134480596,0.14463152857431,327047.889254355,258634.430810494,333575.238516495,0.300334638832762,0.291927057210613,0.302987739992986,1,1,0,1,0.0262751159196291,0.0372297838270617,0.0922184436887377
"HCR-A_Ftrgt-0.3_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,170000,"A",TRUE,TRUE,107297,116783.888090909,96013.37418,124719.155111215,110617.7,85204.15,118779.5,0.00304761904761905,0.000909090909090909,0.0086,0.0022,0.003,0.017,0.003,0.351126769116267,0.280251264079068,0.397580877424451,325135.997274095,256013.491913911,329789.692933513,0.292460527497791,0.289385285327985,0.314251826791518,1,1,0,0,0.0256363636363636,0.0368147258903561,0.0876
"HCR-A_Ftrgt-0.3_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,180000,"A",FALSE,FALSE,107297,119094.293178211,96361.9774624042,122585.349451518,115056,91521,118395,0.00314285714285714,0.00136363636363636,0.008,0.0022,0.003,0.018,0.003,0.134437864251083,0.190660773002948,0.14597383668567,327363.546178694,258910.836429689,334992.006528152,0.300289048345448,0.291218650895147,0.303074568257003,1,1,0,1,0.0367306118738067,0.0492393915132106,0.122424484896979
"HCR-A_Ftrgt-0.3_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,180000,"A",TRUE,TRUE,107297,116783.473372727,95768.9044,124930.79636923,110663.1,84876.65,118902.9,0.003,0.000909090909090909,0.0084,0.0022,0.003,0.016,0.003,0.351465894426391,0.28,0.395112067988128,325408.054305712,256434.349661673,331594.967884985,0.292166941802282,0.288257381979647,0.313825069320048,1,1,0,0,0.0344545454545455,0.0494197679071629,0.1172
"HCR-A_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,190000,"A",FALSE,FALSE,107297,119077.232638099,95994.1152624042,122942.655963515,115130,91505,118848.5,0.00314285714285714,0.00136363636363636,0.008,0.0022,0.003,0.018,0.003,0.135315918101031,0.193207143515691,0.147795427125394,327893.09463418,259301.322090443,336426.047274813,0.300090635325901,0.28989578498535,0.303328777868897,1,1,0,1,0.0486452082196763,0.0608486789431545,0.154830966193239
"HCR-A_Ftrgt-0.3_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,190000,"A",TRUE,TRUE,107297,116778.010163636,95464.41794,125204.205541002,110737.4,84231.57,119430.65,0.00285714285714286,0.000909090909090909,0.008,0.002,0.003,0.016,0.003,0.349886075195177,0.28,0.393332654735354,326085.76061021,256957.734839155,332654.312740281,0.291786026797556,0.286845084537976,0.312992730340202,1,1,0,0,0.0476363636363636,0.0646258503401361,0.1514
"HCR-A_Ftrgt-0.3_Btrigger-210000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,210000,"A",FALSE,FALSE,107297,118997.531632756,94998.3096586613,123971.956452606,115335.5,91427,120079.5,0.00304761904761905,0.00136363636363636,0.0078,0.002,0.003,0.018,0.003,0.138864306965835,0.202858756316146,0.152206543445475,328562.090588861,261361.725503722,340294.995621709,0.299145747303493,0.285820631226213,0.303802587175557,1,1,0,1,0.0843713064824075,0.0906362545018007,0.260852170434087
"HCR-A_Ftrgt-0.3_Btrigger-210000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,210000,"A",TRUE,TRUE,107297,116755.611390909,94624.00608,125943.759229853,110810.3,83525.76,120259.6,0.00247619047619048,0.000818181818181818,0.0066,0.002,0.003,0.013,0.003,0.348781922543005,0.28,0.386115507658864,327809.396196222,258396.148804198,336497.427857512,0.290378048953793,0.282805224830979,0.31076141734162,1,1,0,0,0.0813636363636364,0.0984393757503001,0.258
"HCR-A_Ftrgt-0.3_Btrigger-220000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,220000,"A",FALSE,FALSE,107297,118927.701264797,94344.5684539237,124643.520412385,115416.5,90194.5,120871.5,0.0029047619047619,0.00136363636363636,0.007,0.0022,0.003,0.017,0.003,0.141144748206413,0.212463676949364,0.154787215117949,329662.221297815,263577.734800525,342269.864890271,0.298464263489122,0.282300730031653,0.304831132815571,1,1,0,1,0.106100554595872,0.103041216486595,0.521504300860172
"HCR-A_Ftrgt-0.3_Btrigger-220000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,220000,"A",TRUE,TRUE,107297,116610.956186573,93192.7960967356,127532.683492551,110614.8,92806.4,121843.9,0.00266666666666667,0.000909090909090909,0.0074,0.0018,0.003,0.019,0.003,0.34781985579828,0.2,0.384482426104507,328202.343390984,258343.046645353,340519.843127264,0.289680144913348,0.279332620140255,0.312017296911311,1,1,0,0,0.10437312482953,0.109421884376875,0.525705141028206
"HCR-A_Ftrgt-0.3_Btrigger-230000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,230000,"A",FALSE,FALSE,107297,118891.665640173,93611.8388,125297.705844322,115597.5,87052.5,121808,0.00242857142857143,0.00136363636363636,0.005,0.0022,0.003,0.014,0.003,0.143090824094356,0.225221618030682,0.156676197281888,330659.688425159,267891.003497455,344391.109365689,0.297808503681324,0.275395072566707,0.3057941268591,1,1,0,0,0.131569376250227,0.114314314314314,0.5834
"HCR-A_Ftrgt-0.3_Btrigger-230000_TACconstr-TRUE_BB-TRUE.rds","base",0.3,230000,"A",TRUE,TRUE,107297,116561.388413845,92573.3648243994,128114.80863781,110763.9,92806.4,122227.83550974,0.00271428571428571,0.001,0.0074,0.0018,0.003,0.019,0.003,0.34619545965368,0.2,0.379012637094901,329180.651178613,260005.660288097,342941.467397306,0.288330923577785,0.275306074316527,0.311208989638043,1,1,0,1,0.130193653968543,0.128225645129026,0.591118223644729
"HCR-A_Ftrgt-0.3_Btrigger-240000_TACconstr-FALSE_BB-FALSE.rds","base",0.3,240000,"A",FALSE,FALSE,107297,118804.57638634,92764.4335149576,126165.027201205,115717,84069,122871,0.00228571428571429,0.00136363636363636,0.0046,0.002,0.003,0.013,0.003,0.145166162726196,0.236060838349726,0.159667945873013,331768.675789861,272251.856442179,346269.707426272,0.296985003795057,0.268295073822569,0.306399199214722,1,1,0,1,0.155832348395309,0.132332332332332,0.640928185637127
"HCR-A_Ftrgt-0.3_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE.rds","base",0.3,2e+05,"A",FALSE,FALSE,107297,119035.109360029,95542.6456411912,123424.462968812,115247.5,91462.5,119539.5,0.00314285714285714,0.00136363636363636,0.008,0.0022,0.003,0.018,0.003,0.136736323262316,0.196291689509294,0.149839385111004,328155.332161177,260071.475326014,338240.887596222,0.299880075108765,0.288702571559959,0.303464731015845,1,1,0,1,0.0658241658332576,0.0748449069441665,0.198839767953591
"HCR-A_Ftrgt-0.3_Btrigger-2e+05_TACconstr-TRUE_BB-TRUE.rds","base",0.3,2e+05,"A",TRUE,TRUE,107297,116760.338218182,95068.95926,125564.263460033,110760.8,83632.5,119909.3,0.00280952380952381,0.001,0.0076,0.002,0.003,0.014,0.003,0.349784389011444,0.28,0.391441659995754,326627.91954651,257552.457267833,333878.29736748,0.290927469925865,0.284570671740583,0.312512906820374,1,1,0,0,0.0635454545454545,0.0792316926770708,0.1972
"HCR-A_Ftrgt-0.315_Btrigger-250000_TACconstr-FALSE_BB-FALSE.rds","base",0.315,250000,"A",FALSE,FALSE,107297,118860.943931803,94505.1359783692,127197.877221423,115998,84663,124306.5,0.00328571428571429,0.00272727272727273,0.005,0.0028,0.005,0.014,0.005,0.153985583871248,0.244758473385568,0.168180954033703,319028.652214936,269121.240283559,332337.026296213,0.308548804872694,0.275926158637735,0.321371069049651,1,1,0,1,0.231202836621511,0.187675070028011,0.694938987797559
