file,OM,Ftrgt,Btrigger,HCR,TACconstr,BB,ObsRho,ObsSd,Ftrgt1,Blim,MSYBtrigger,catch_long,catch_short,catch_medium,catch_median_long,catch_median_short,catch_median_medium,risk1_full,risk1_long,risk1_short,risk1_medium,risk3_long,risk3_short,risk3_medium,iav_long,iav_short,iav_medium,iavTAC_long,iavTAC_short,iavTAC_medium,ssb_median_long,ssb_median_short,ssb_median_medium,fbar_median_long,fbar_median_short,fbar_median_medium,recovery_proportion,recovery_time,conv_failed,F_maxed,slope_long,slope_medium,slope_short
MP_whiting_HCR-A_Ftrgt-0.05_Btrigger-230000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.05,230000,A,FALSE,FALSE,0.47,0.17,0.05,119970,166708,11031.1138665136,7159.90037774218,9680.76835482049,11201.7770740138,6529.29304184866,9575.68874670253,0.0245,0.011,0.0468,0.0292,0.016,0.053,0.044,0.183233698444429,0.3430166471069,0.200543568024995,0.182875158256499,0.25577392022711,0.195642371135646,233313.456883163,178304.667834101,216998.153903323,0.0470123490056123,0.0372615818502865,0.0441430906093457,0.993,1,,0,0.4934,0.6018,0.8316
MP_whiting_HCR-A_Ftrgt-0.05_Btrigger-240000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.05,240000,A,FALSE,FALSE,0.47,0.17,0.05,119970,166708,10891.6730709863,6963.12567531864,9527.25005063483,10938.2972041167,6283.92596321256,9220.95954295212,0.0238,0.0102,0.0464,0.0284,0.015,0.053,0.044,0.191338427268061,0.351808205196019,0.208947031577552,0.190926377057152,0.262957093192695,0.203864125777801,233788.3346647,178553.377472986,217524.663402472,0.0461109886971521,0.0357847528709891,0.0428958918425555,0.993,1,,0,0.5513,0.6548,0.8612
MP_whiting_HCR-A_Ftrgt-0.05_Btrigger-250000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.05,250000,A,FALSE,FALSE,0.47,0.17,0.05,119970,166708,10739.9062032379,6768.55764609458,9364.82260731745,10562.782449861,6051.49936144469,8895.69798613568,0.0233,0.0099,0.0454,0.028,0.014,0.051,0.044,0.1992944966104,0.355329799888057,0.216564609433869,0.198252896671484,0.268756994938677,0.20996565925743,234212.421446945,178775.153117421,217915.583441723,0.0450958356412839,0.0343902100475164,0.0415264497321243,0.993,1,,0,0.6078,0.7052,0.894
MP_whiting_HCR-A_Ftrgt-0.05_Btrigger-260000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.05,260000,A,FALSE,FALSE,0.47,0.17,0.05,119970,166708,10578.8297650834,6576.60909865557,9195.37088956483,10210.6798402862,5833.34889057938,8596.00810415141,0.0229,0.0096,0.0448,0.0276,0.014,0.05,0.043,0.208052869944411,0.359780004210238,0.223034099599776,0.206722075728012,0.270978644416588,0.216597793271245,234638.975357166,178986.575991784,218466.731492595,0.0438889347024545,0.0330735934993679,0.0401802481427936,0.993,1,,0,0.6551,0.7462,0.9146
MP_whiting_HCR-A_Ftrgt-0.05_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.05,2e+05,A,FALSE,FALSE,0.47,0.17,0.05,119970,166708,11364.9331540851,7735.42146989672,10072.0017693781,11255.9842079394,7440.19056542834,10244.1235522044,0.0264,0.0121,0.0494,0.032,0.017,0.057,0.046,0.159898708307365,0.315241706396123,0.174424271161032,0.159278234368716,0.23458585687721,0.170129026042818,232247.091955094,177733.653361505,215977.502590743,0.0488094560067515,0.0421605068682555,0.0468727297805575,0.993,1,,0,0.3129,0.4304,0.6776
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-120000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,120000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13586.0816508219,10235.5227596799,12277.1177894668,13072.2783027901,9923.33909590808,11878.0178430796,0.03685,0.0203,0.0618,0.045,0.029,0.074,0.058,0.134763916324094,0.201777011157363,0.134920981926892,0.13455776728326,0.15209393410352,0.133023746211231,226251.632298075,175210.720406216,210606.627929294,0.0598607328040083,0.0581795416957919,0.0590391249848341,0.99,1,,0,0.0272,0.0672,0.1106
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-130000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,130000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13582.74188383,10179.5098503162,12256.7518386727,13073.7731215548,9926.99215841553,11884.5605367997,0.03625,0.0197,0.061,0.0446,0.029,0.071,0.058,0.135959977938438,0.211985320500568,0.137884854379288,0.135873144415286,0.159339697339898,0.135230622660286,226276.775818438,175295.177285544,210651.386737275,0.0597877213555764,0.0579259380280901,0.058957212938986,0.99,1,,0,0.0408,0.0906,0.1688
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-140000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,140000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13573.4226184531,10102.2816571688,12228.6038502359,13087.5033825182,9933.94365500623,11892.4191122631,0.03505,0.0188,0.06,0.0426,0.026,0.071,0.056,0.137527841868534,0.226366162785881,0.139769364932398,0.137385762063119,0.168561360072381,0.137567774837326,226405.180500986,175325.107961118,210679.923541876,0.059728269043083,0.0575816793916738,0.058730388053234,0.991,1,,0,0.0654,0.1234,0.2324
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-150000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,150000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13554.4849372785,9999.91890845813,12190.1266786575,13092.034866217,9945.69217839031,11900.6764353365,0.0344,0.018,0.0596,0.042,0.024,0.071,0.054,0.139884893444638,0.2407273454459,0.143927484065267,0.139710935918226,0.177706633270928,0.140270250945351,226565.991456201,175464.349167593,210841.336264931,0.0596337400727267,0.0570628117168019,0.0586344254021247,0.991,1,,0,0.0933,0.1618,0.3072
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-160000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,160000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13523.8653000528,9872.38110702267,12138.9883305129,13104.63818542,9948.22707892762,11912.0792134405,0.0332,0.0171,0.0582,0.0404,0.022,0.07,0.053,0.142799579178619,0.255228335442936,0.14892045245492,0.142592876272169,0.190275512930679,0.145779969623687,226754.389097371,175544.235385218,211046.585487832,0.0595548048795451,0.0562357342127924,0.0583083167790309,0.991,1,,0,0.1288,0.2108,0.3866
