"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","F0","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short","HPC"
"cod4_alt1_F0.rds","cod4_alt1",0,0,"F0",FALSE,FALSE,107000,0,0,0,0,0,0,0.00785,0,0.0314,0,0,0.153,0,0,0,0,1210889.50596342,285288.716783754,848222.085531697,1,2,NA,0,NA,0,0,0,0,0,0,"UEA"
"cod4_alt1_HCR-A_Ftrgt-0.31_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt1",0.31,150000,"A",FALSE,FALSE,107000,97022.4121,57221.0486,92192.1146,91081.5,50006.5,86423.5,0.00995,0,0.0394,4e-04,0,0.153,0.001,0.12693926704924,0.443050839798422,0.168336696672536,345681.533059847,204171.2958846,322649.637065891,1,2,0,0,NA,0.306821433104327,0.250378777476011,0.303683085633655,0.0018,0.0048,0.421,"UEA"
"cod4_alt1_HCR-A_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt1",0.38,170000,"A",FALSE,FALSE,107000,98418.7835,64199.2808,94843.8384,91874.5,56835,88295.5,0.01145,0.0014,0.041,0.002,0.003,0.153,0.003,0.149582870291956,0.431895284405745,0.197562345243128,279259.680442044,195037.043284184,266379.866589674,1,2,0,0,FALSE,0.3741739807098,0.293632292496376,0.372915235946392,0.0596,0.0702,0.4944,"UEA"
"cod4_alt1_HCR-A_Ftrgt-0.4_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt1",0.4,190000,"A",TRUE,TRUE,107000,98559.10731,64319.97276,98118.25264,91511.9,55402.75,91763.75,0.0114,0.0018,0.04,0.002,0.004,0.153,0.004,0.31129243177671,0.465179614761205,0.360157893765488,264922.20816979,196086.180034051,257426.358577357,1,2,0,0,NA,0.382777727969021,0.281910698094762,0.393138072273,0.1489,0.1802,0.546,"UEA"
"cod4_alt1_HCR-A_Ftrgt-0.41_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt1",0.41,190000,"A",TRUE,TRUE,107000,98570.65394,65165.3519,98103.31824,91518.7,56000.5,91836.6,0.01235,0.0027,0.0404,0.0036,0.005,0.153,0.005,0.31055668482213,0.453597949413849,0.360895474884812,258250.183003661,194466.763763168,251962.04511659,1,2,0,0,FALSE,0.390748850324406,0.288703313927361,0.401274343945664,0.1739,0.2024,0.5542,"UEA"
"cod4_alt1_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt1",0.36,130000,"B",TRUE,TRUE,107000,98257.92546,60673.65092,97883.52224,90697.1,52460.65,90507.9,0.01185,8e-04,0.045,8e-04,0.002,0.153,0.002,0.323649448527836,0.324672999359192,0.395535834908589,294912.039700076,189140.209666879,282130.749889082,1,2,0,0,FALSE,0.352250834170134,0.290623549586087,0.36590610216821,0.0051,0.009,0.3708,"UEA"
"cod4_alt1_HCR-B_Ftrgt-0.38_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt1",0.38,160000,"B",FALSE,FALSE,107000,98421.2666,64387.4278,94665.2746,91880,57794.5,87953.5,0.01175,0.0017,0.0416,0.002,0.003,0.153,0.004,0.14915057478377,0.405216932413585,0.20271715416566,279028.213140945,194765.202197045,266102.277788844,1,2,0,0,FALSE,0.374802330524274,0.300546405624517,0.372348171063757,0.0389,0.0506,0.466,"UEA"
"cod4_alt1_HCR-C_Ftrgt-0.36_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt1",0.36,140000,"C",TRUE,TRUE,107000,98251.66448,60541.66356,98067.67552,90642.15,51482.3,90780.3,0.01205,7e-04,0.0458,0.001,0.002,0.153,0.002,0.325827288126387,0.361453503712918,0.395009025810769,294925.669531233,189624.543933054,282020.194293325,1,2,0,0,FALSE,0.352109217333901,0.282957332589973,0.366441213685723,0.0099,0.016,0.4148,"UEA"
"cod4_alt1_HCR-C_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt1",0.38,170000,"C",FALSE,FALSE,107000,98418.7835,64199.2808,94843.8384,91874.5,56835,88295.5,0.01145,0.0014,0.041,0.002,0.003,0.153,0.003,0.149582870291956,0.431895284405745,0.197562345243128,279259.680442044,195037.043284184,266379.866589674,1,2,0,0,FALSE,0.3741739807098,0.293632292496376,0.372915235946392,0.0596,0.0702,0.4944,"UEA"
"cod4_alt2_F0.rds","cod4_alt2",0,0,"F0",FALSE,FALSE,108000,0,0,0,0,0,0,0.0138,0,0.0552,0,0,0.269,0,0,0,0,709652.607755985,247548.021881973,543346.801808656,1,2,NA,0,NA,0,0,0,0,0,0,"UEA"
