"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","F0","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short","HPC","iavTAC_long","iavTAC_short","iavTAC_medium"
"cod4_HCR-B_Ftrgt-0.5_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.5,110000,"B",FALSE,FALSE,107000,54987.1807911739,52569.981,53894.9794,59082.5,53186.5,57676,0.2317,0.2417,0.19,0.2534,0.269,0.261,0.304,0.295489951234517,0.121168696182105,0.843150679848084,132809.90879533,133858.370721832,130356.897394036,0.973,4,0,1,FALSE,0.496053129253828,0.450746440688945,0.495644629557522,0.2876,0.2742,0.2312,"UEA",0.298578574716682,0.187717513723675,0.92445501250581
"cod4_HCR-B_Ftrgt-0.5_Btrigger-110000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.5,110000,"B",TRUE,TRUE,107000,54879.20322,51461.28348,56118.415089997,57531.45,48716.3,58705.7,0.2269,0.2365,0.1952,0.2394,0.282,0.248,0.312,0.522272986115302,0.35801475187882,1.03940878894413,132915.503321318,133406.917595632,131674.619398126,0.973,4,0,0,FALSE,0.470812912604392,0.430493335219951,0.482502965490958,0.286,0.275,0.2132,"UEA",0.333079115802388,0.182907719836401,0.936887832688231
"cod4_HCR-B_Ftrgt-0.5_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.5,130000,"B",FALSE,FALSE,107000,54923.974,52893.22,53654.0424,59027,50236,57493,0.2137,0.23,0.1532,0.2416,0.272,0.204,0.307,0.309588371166666,0.139125896994016,0.798354153397756,134222.901574433,138135.791678831,130947.398614512,0.978,4,0,0,FALSE,0.485043584531264,0.429745896426023,0.485668894110204,0.4405,0.4504,0.5832,"UEA",0.313772258058685,0.211282113522638,0.89630432759826
"cod4_HCR-B_Ftrgt-0.5_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.5,130000,"B",TRUE,TRUE,107000,54859.54445,51845.15814,55660.6082286454,56355.75,50282.75,56910.9,0.2079,0.2242,0.1574,0.2258,0.27,0.186,0.31,0.510325827770222,0.343056866405458,0.962009496379565,133915.739256478,137550.513260944,132811.044858809,0.977,4,0,0,FALSE,0.462814740739377,0.410964389321855,0.474665952889659,0.435,0.4588,0.5724,"UEA",0.342475441056675,0.215609152178541,0.902307696215856
"cod4_HCR-B_Ftrgt-0.5_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.5,150000,"B",FALSE,FALSE,107000,54860.5546,52917.2382,53304.6594,57217.5,48322,55040.5,0.18115,0.1988,0.1142,0.2128,0.24,0.185,0.279,0.321121114098184,0.207706660635531,0.696646002153372,136977.636930168,144215.949201546,133585.065978563,0.976,3,0,0,FALSE,0.462556476288607,0.395355338274239,0.459719061815066,0.5839,0.6146,0.6762,"UEA",0.3250360274806,0.229299210617933,0.79010442784633
"cod4_HCR-B_Ftrgt-0.5_Btrigger-150000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.5,150000,"B",TRUE,TRUE,107000,54751.8773247423,51597.74692,55612.69682,55031.15,46880.3,55314.9,0.17775,0.2001,0.1188,0.192,0.25,0.185,0.295,0.488385406469841,0.276189169075557,0.842005586203493,136743.823897607,143452.315823117,135642.967981205,0.979,3,0,0,FALSE,0.445485206145089,0.382303034770897,0.456577527042465,0.5852,0.6204,0.6788,"UEA",0.364286035948042,0.227131307671458,0.811821067164405
"cod4_HCR-B_Ftrgt-0.5_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.5,170000,"B",FALSE,FALSE,107000,54870.5112,52595.7552,53163.6548,54446.5,46252,52373,0.1456,0.1607,0.0904,0.1706,0.208,0.185,0.25,0.330061677498964,0.284171907833305,0.620808940174362,141274.259816527,149807.764118258,137637.580313642,0.984,3,0,0,FALSE,0.434272264499521,0.360629147709457,0.430861214014845,0.7087,0.7436,0.7386,"UEA",0.335169366672142,0.250810804334417,0.701227295735214
"cod4_HCR-B_Ftrgt-0.5_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.5,170000,"B",TRUE,TRUE,107000,54783.1814000289,51275.94338,55432.57326,53487.6,44935,53731.8,0.14505,0.1649,0.0932,0.1572,0.219,0.185,0.261,0.459416879673204,0.292783369143202,0.729235785198125,140924.397458497,149114.039912899,139435.403463277,0.987,3,0,0,FALSE,0.42438456472386,0.348679864444867,0.433117100983181,0.7105,0.7516,0.737,"UEA",0.363918312505893,0.247715594012775,0.713889565708589
"cod4_HCR-B_Ftrgt-0.5_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.5,190000,"B",FALSE,FALSE,107000,54855.0345,52039.8062,52972.1432,52531.5,44797,50593.5,0.1134,0.1228,0.0738,0.1342,0.16,0.185,0.196,0.330744328410412,0.348213276037544,0.548647117519681,146743.883674452,155210.821040736,143329.092462959,0.993,3,0,0,FALSE,0.40689449401299,0.332855948806672,0.399536513874629,0.8078,0.8376,0.7948,"UEA",0.336232245609754,0.279095605679291,0.612842569599964
"cod4_HCR-B_Ftrgt-0.5_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.5,190000,"B",TRUE,TRUE,107000,54706.1360398792,50711.67438,55319.17212,52047.85,43339.45,52163.1,0.1108,0.1229,0.0762,0.1212,0.158,0.185,0.213,0.432222453655489,0.353019337328961,0.643171706850938,146578.333657316,154441.234378433,145374.037745979,0.993,3,0,1,FALSE,0.399139552910778,0.319851137983047,0.406730440607533,0.8088,0.8454,0.7948,"UEA",0.357476058384671,0.278082558982485,0.629104888700806
"cod4_HCR-C_Ftrgt-0.1_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,110000,"C",FALSE,FALSE,107000,35840.5157,18939.0614,31932.123,34975,17375,31461.5,0.01035,0,0.0414,0,0,0.185,0,0.072665367700111,0.289108695735856,0.109341710281394,438197.516836402,212064.432442281,380852.723514765,1,2,0,0,FALSE,0.100795853293084,0.0883901042155974,0.0982829989408184,0,0,0.0682,"UEA",0.0722463116930993,0.209249613071905,0.10308643130365
"cod4_HCR-C_Ftrgt-0.1_Btrigger-110000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,110000,"C",TRUE,TRUE,107000,35765.54124,22243.54774,32347.54866,34351,18372.4,31219.95,0.01855,0,0.0742,0,0,0.185,0,0.367278511031264,0.253934407411085,0.444647012394109,434973.579629569,178025.889799674,366472.378767409,1,3,0,0,FALSE,0.0992502128888314,0.0904344573198506,0.104269848323247,0,0,0.1226,"UEA",0.0742074369238146,0.367362549198167,0.110709007687225
"cod4_HCR-C_Ftrgt-0.1_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,130000,"C",FALSE,FALSE,107000,35850.8756,18667.6896,32007.862,34987.5,17693.5,31526,0.01015,0,0.0406,0,0,0.185,0,0.0730552326103374,0.324846669567947,0.108472016560436,438296.970651168,214489.389842893,381608.352512051,1,2,0,0,FALSE,0.100800150237984,0.0864274550555139,0.0984193806202649,0,0,0.3568,"UEA",0.0724350772993145,0.241405182488697,0.102691070906284
"cod4_HCR-C_Ftrgt-0.1_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,130000,"C",TRUE,TRUE,107000,35889.64139,18202.5433,33188.57124,34474.05,16827.1,32162.85,0.0101,0,0.0404,0,0,0.185,0,0.364029284915545,0.423990564421073,0.431408773481959,437995.665866501,214501.784906425,381483.763708967,1,2,0,0,FALSE,0.0991259094729004,0.0790065787843417,0.103984777145443,0,0,0.356,"UEA",0.0749638523098959,0.23904226524386,0.105561214432306
"cod4_HCR-C_Ftrgt-0.1_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,150000,"C",FALSE,FALSE,107000,35863.1755,18356.9292,32094.1774,34998,18024.5,31635.5,0.0101,0,0.0404,0,0,0.185,0,0.0727763338565207,0.342335530067396,0.107524231149242,438356.181858843,217353.724002051,382797.14676871,1,2,0,0,FALSE,0.100776059407582,0.0844074429029211,0.0985144845176413,0,0,0.3958,"UEA",0.0723827256963259,0.240551177132994,0.102234259443578
"cod4_HCR-C_Ftrgt-0.1_Btrigger-150000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,150000,"C",TRUE,TRUE,107000,35901.06739,17883.9185,33268.8476,34508.5,16614.95,32258.25,0.0101,0,0.0404,0,0,0.185,0,0.363294837073903,0.491077446219225,0.428737511083418,438164.393306487,217137.529963775,382547.140538875,1,2,0,0,FALSE,0.0991556316177557,0.0755693156106712,0.10404283138275,0,0,0.3952,"UEA",0.0756207362172276,0.237591315834109,0.1054465107169
"cod4_HCR-C_Ftrgt-0.1_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,170000,"C",FALSE,FALSE,107000,35876.2674,18084.951,32168.482,35015,18271.5,31692,0.01005,0,0.0402,0,0,0.185,0,0.0731215295898066,0.345407785788483,0.106914497983931,438537.134321821,219580.423320025,383811.712996989,1,2,0,0,FALSE,0.100797242934427,0.0834866466687393,0.0986276934537074,0,0,0.4134,"UEA",0.072645697582527,0.239703544439017,0.102013327054234
"cod4_HCR-C_Ftrgt-0.1_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,170000,"C",TRUE,TRUE,107000,35910.22048,17610.12314,33339.54332,34506.15,16637.65,32351.2,0.01,0,0.04,0,0,0.185,0,0.362144597531232,0.564305157847941,0.426607192700151,438286.41269287,219279.025121183,383839.665050401,1,2,0,0,FALSE,0.0991554880623847,0.0736489750105265,0.104108517255034,0,0,0.4106,"UEA",0.0760671515221374,0.235907565799506,0.105427982192364
