file,OM,Ftrgt,Btrigger,HCR,TACconstr,BB,ObsRho,ObsSd,Ftrgt1,Blim,MSYBtrigger,catch_long,catch_short,catch_medium,catch_median_long,catch_median_short,catch_median_medium,risk1_full,risk1_long,risk1_short,risk1_medium,risk3_long,risk3_short,risk3_medium,iav_long,iav_short,iav_medium,iavTAC_long,iavTAC_short,iavTAC_medium,ssb_median_long,ssb_median_short,ssb_median_medium,fbar_median_long,fbar_median_short,fbar_median_medium,recovery_proportion,recovery_time,conv_failed,F_maxed,slope_long,slope_medium,slope_short
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-140000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,140000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113705.647218198,78927.1642004138,106799.26062871,111161.707487577,75999.0165359918,104282.568908934,0.00065,0,0.0026,0,0,0.01,0,0.110955162349622,0.238332346297474,0.114550761123387,0.110904190615333,0.180511887677361,0.114756372949129,491403.505269243,307405.230382213,453855.378674976,0.203937877737545,0.199292965083303,0.200810459085271,1,1,,0,0,0,0.0332
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-150000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,150000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113707.15319428,78905.7558274356,106812.283292101,111161.707487577,76043.2505069265,104287.121037709,6e-04,0,0.0024,0,0,0.01,0,0.110955162349622,0.241392418330712,0.114659429396598,0.110904190615333,0.181345859578818,0.114844058788837,491422.272198773,307546.280160976,453967.82715916,0.203937877737545,0.19928049363075,0.200810459085271,1,1,,0,0,0,0.045
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-160000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,160000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113709.19575567,78874.8119611558,106831.555470672,111161.707487577,76165.8064408819,104321.194528638,6e-04,0,0.0024,0,0,0.01,0,0.110955162349622,0.244332425118228,0.114748616386986,0.110904190615333,0.183672884745046,0.114844058788837,491438.854895719,308235.236678006,454043.587137561,0.203937877737545,0.199155544787721,0.200772262068103,1,1,,0,0,0,0.0628
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-170000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,170000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113711.990285401,78831.4972287726,106858.789867642,111161.707487577,76198.6408035497,104363.330728272,6e-04,0,0.0024,0,0,0.01,0,0.110955162349622,0.248201334720115,0.114844058788837,0.110904190615333,0.186722598317524,0.114659429396598,491509.041932381,308585.998855462,454307.402650879,0.203937877737545,0.199014243242554,0.200695979186053,1,1,,0,1e-04,0,0.084
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-180000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,180000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113715.371075196,78777.3394282804,106892.041797342,111161.707487577,76253.9748990253,104374.372910441,6e-04,0,0.0024,0,0,0.01,0,0.110955162349622,0.254253515498315,0.114593524056007,0.110904526395628,0.190021290068674,0.114677600352543,491555.352203608,308915.874602673,454773.347034285,0.203938635035771,0.19886778490994,0.200709668795648,1,1,,0,1e-04,0,0.1044
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-190000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,190000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113719.471735489,78710.562700954,106932.647749634,111163.893480295,76444.6783967501,104376.926132876,6e-04,0,0.0024,0,0,0.01,0,0.11097089513103,0.26016163123226,0.114206303407537,0.110918946196081,0.192499632289818,0.11451124145843,491588.145429058,310014.436520675,455086.257633302,0.203935391939602,0.198444130746347,0.200686144294753,1,1,,0,1e-04,0,0.1284
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-210000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,210000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113730.618292504,78528.137282247,107041.152228708,111173.575205842,76903.0796006206,104494.256897558,5e-04,0,0.002,0,0,0.01,0,0.110997982205248,0.267781233960424,0.114501715371201,0.110918946196081,0.201410879082878,0.114616350087155,491679.611582109,311477.889082947,455942.161407271,0.203939904303056,0.197466567538079,0.200627258278067,1,1,,0,6e-04,8e-04,0.1942
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-220000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,220000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113737.781747367,78410.454458398,107110.290561182,111175.504141034,77193.5751816637,104587.251581626,5e-04,0,0.002,0,0,0.01,0,0.11097642979005,0.276689481563129,0.114657113098415,0.110918997227671,0.207058757121431,0.114947985627307,491740.181607392,312847.306985682,456574.71914042,0.203955388011539,0.196448755227619,0.200599747887528,1,1,,0,9e-04,0.003,0.226
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-230000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,230000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113745.702718485,78276.1561608449,107188.445364477,111183.623087645,77500.0314061938,104629.263432784,5e-04,0,0.002,0,0,0.01,0,0.11101020949614,0.283234221363802,0.114723598471444,0.110956739971657,0.212477268360946,0.11495021175558,491853.833271119,314718.564207395,457243.602394691,0.203959778501421,0.195660340548422,0.20053287710033,1,1,,0,0.0015,0.0042,0.2604
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-240000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,240000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113754.231124002,78124.1813796556,107275.10759453,111219.43813426,77783.0834496422,104702.147279557,5e-04,0,0.002,0,0,0.01,0,0.111039962483358,0.291148391818216,0.114549588957457,0.111039962483358,0.219054161723218,0.114845729415414,491883.841579597,316405.710667865,457898.821709633,0.203963742775744,0.1947030971575,0.200489052529367,1,1,,0,0.0023,0.0062,0.2918
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-250000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,250000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113762.897380289,77956.8750260564,107368.982027034,111225.9082035,78310.9315834648,104830.007989019,5e-04,0,0.002,0,0,0.01,0,0.111089907161764,0.297948558833484,0.114208446332048,0.111089907161764,0.224186658641566,0.1144539305512,491919.337390065,318029.616791576,458512.405295372,0.203974778461953,0.193942803469528,0.200463441298053,1,1,,0,0.0039,0.0096,0.3274
MP_saithe_HCR-A_Ftrgt-0.21_Btrigger-260000_TACconstr-FALSE_BB-FALSE_ObsRho--0.12_ObsSd-0.04.rds,MP_saithe,0.21,260000,A,FALSE,FALSE,-0.12,0.04,0.21,107297,149098,113772.38400919,77774.4981125839,107469.977041828,111246.13446198,78804.2902726228,104927.219677803,5e-04,0,0.002,0,0,0.01,0,0.111120201902981,0.305858044060431,0.114485645946623,0.111100566515603,0.231149189621155,0.114529104846382,492027.097719421,320417.448560777,459259.435533888,0.203940058418378,0.192371175511152,0.200399345630002,1,1,,0,0.006,0.0134,0.356
